,Unnamed: 0,State,City,Killed,Injured,AvgKilled,AvgInjured,Population,Houses,TotalArea,LandArea,PopDensity,HouseDensity,HousingPrice,NumIncidents,GVRate,LogPop,LogHousingPrice,LogPopDensity
11141,11141,mo,stoutsville,1.0,0.0,1.0,0.0,36.0,34.0,0.8200000000000002,0.81,44.29999999999998,41.79999999999997,85740.63265306123,1,0.0065359477124183,1.5563025007672873,4.933186683708318,1.6464037262230693
11396,11396,ms,mccool,2.0,5.0,0.6666666666666666,1.6666666666666667,135.0,88.0,0.9399999999999996,0.9399999999999996,143.8000000000001,93.69999999999992,84677.28571428571,3,0.005228758169934641,2.130333768495006,4.927766928490021,2.157758886046864
11435,11435,ms,pope,3.0,4.0,0.6,0.8,215.0,92.0,1.0600000000000005,1.0600000000000005,203.10000000000016,86.90000000000003,93099.32653061225,5,0.005471956224350205,2.3324384599156054,4.968946539358392,2.3077099234048073
11467,11467,ms,sidon,0.0,0.0,0.0,0.0,509.0,169.0,0.12000000000000008,0.12000000000000008,4102.7000000000035,1362.199999999999,20957.0,1,0.0004622674217034554,2.7067177823367587,4.32132911339302,3.613069761395876
11754,11754,nc,bolivia,2.0,6.0,0.2222222222222222,0.6666666666666666,143.0,77.0,0.6400000000000003,0.6400000000000003,224.7000000000001,121.0,149687.61538461538,9,0.014808720691073633,2.155336037465062,5.175185869864644,2.3516030724191292
11777,11777,nc,cameron,2.0,8.0,0.25,1.0,285.0,148.0,1.2199999999999993,1.2199999999999993,232.79999999999993,120.89999999999992,176287.0,8,0.006604747162022704,2.45484486000851,5.2462202871352215,2.3669829759778507
12018,12018,nc,linden,3.0,2.0,1.0,0.6666666666666666,130.0,65.0,0.5100000000000005,0.5100000000000005,257.20000000000016,128.60000000000008,181095.81632653065,3,0.005429864253393666,2.113943352306837,5.257908417363814,2.410270964252185
12026,12026,nc,lumberbridge,7.0,0.0,1.0,0.0,94.0,51.0,0.6799999999999998,0.6700000000000009,140.30000000000013,76.09999999999994,100581.23076923077,7,0.017521902377972465,1.9731278535996986,5.0025169455920775,2.14705767102836
12111,12111,nc,orrum,2.0,5.0,0.6666666666666666,1.6666666666666667,91.0,50.0,0.4800000000000004,0.4800000000000004,190.3,104.60000000000002,37919.48,3,0.007756948933419522,1.9590413923210936,4.578862373110147,2.2794387882870204
12195,12195,nc,seagrove,1.0,1.0,0.25,0.25,228.0,125.0,1.0399999999999994,1.0399999999999994,220.10000000000016,120.69999999999986,104185.59183673467,4,0.0041279669762641896,2.357934847000454,5.017807663124181,2.342620042553348
13131,13131,nj,allenhurst,0.0,0.0,0.0,0.0,496.0,365.0,0.2799999999999998,0.25999999999999984,1887.8999999999992,1389.3000000000009,1664191.8775510204,1,0.0004743833017077799,2.6954816764901977,6.221203398010875,3.275978986467148
13135,13135,nj,alpine,0.0,0.0,0.0,0.0,1849.0,670.0,9.230000000000006,6.410000000000003,288.3999999999998,104.5,2505927.6938775512,1,0.00012725479591512107,3.266936911159173,6.3989685356912425,2.459995256047391
13217,13217,nj,deal,0.0,0.0,0.0,0.0,750.0,926.0,1.32,1.2400000000000004,604.7999999999995,746.7,2181613.4081632653,1,0.00031372549019607844,2.8750612633917,6.338777794109144,2.7816117824931497
13248,13248,nj,englewoodcliffs,0.0,0.0,0.0,0.0,5281.0,1924.0,3.3300000000000014,2.090000000000002,2528.100000000002,921.0,1195810.6326530613,1,4.455484144045802e-05,3.7227161674884948,6.077662410668028,3.4027942486409035
13517,13517,nj,rumson,1.0,0.0,1.0,0.0,7122.0,2585.0,7.120000000000004,5.060000000000001,1408.0,511.0,1208998.918367347,1,3.3037646398070604e-05,3.852601969338235,6.082425912318751,3.1486026548060932
